timestamp,Discharge Pressure(psi),Average Amps(Amps),Intake Temperature(F),Drive Frequency(Hz),Motor Temperature(F),Intake Pressure(psi),State,Dif
11/9/2022 0:13,781.9999695,32.00000048,74.00000095,0,98.00000191,207.9999924,,
11/9/2022 0:20,808.0000305,32.99999952,71.99999809,0,75.99999905,592.0000076,CLEAR,6.833333333
11/9/2022 0:21,841.9999695,29.00000095,79.00000095,0,83.00000191,659.0000153,CLEAR,1.766666667
11/9/2022 0:24,841.9999695,29.00000095,79.00000095,0,83.00000191,659.0000153,CLEAR,2.15
11/9/2022 0:24,841.9999695,29.00000095,79.00000095,0,83.00000191,659.0000153,CLEAR,0.716666667
11/9/2022 0:28,809.0000153,25.99999905,76.99999809,25.999999,80,655,CLEAR,3.6
11/9/2022 0:29,809.0000153,25.99999905,76.99999809,25.999999,80,655,CLEAR,0.716666667
11/9/2022 0:31,809.0000153,25.99999905,76.99999809,25.999999,80,655,CLEAR,2.15
11/9/2022 0:31,809.0000153,25.99999905,76.99999809,25.999999,80,655,CLEAR,0.716666667
11/9/2022 0:33,809.0000153,25.99999905,76.99999809,25.999999,80,655,CLEAR,1.433333333
11/9/2022 0:34,780.9999847,587.9999924,65,62.0000005,111.9999981,1083.000031,CLEAR,0.766666667
11/9/2022 0:53,700,565,60.99999905,54.0000021,106.0000038,1061.999969,CLEAR,19.31666667
11/9/2022 1:13,746.9999695,634.0000153,61.99999809,63.9999986,108.0000019,1111.999969,CLEAR,20.1
11/9/2022 1:32,750,592.9999924,60,55.0000012,105,1101.999969,CLEAR,19.36666667
11/9/2022 1:52,654.0000153,535,60,58.9999974,103.0000019,1313.000031,HI,20.08333333
11/9/2022 2:02,654.0000153,535,60,58.9999974,103.0000019,1313.000031,HI,9.816666667
11/9/2022 2:05,607.0000076,579.0000153,58.00000191,61.0000014,96.99999809,1195.999985,CLEAR,3.1
11/9/2022 2:06,607.0000076,579.0000153,58.00000191,61.0000014,96.99999809,1195.999985,CLEAR,0.716666667
11/9/2022 2:12,705,604.0000153,63.00000191,61.0000014,110,1233.000031,CLEAR,5.733333333
11/9/2022 2:13,705,604.0000153,63.00000191,61.0000014,110,1233.000031,CLEAR,0.716666667
11/9/2022 2:25,629.0000153,570.9999847,55,61.0000014,106.0000038,1281.000061,HI,12.2
11/9/2022 2:25,629.0000153,570.9999847,55,61.0000014,106.0000038,1281.000061,HI,0.716666667
11/9/2022 2:32,602.9999924,529.0000153,59.00000095,56.9999993,103.9999962,1135.999985,CLEAR,6.45
11/9/2022 2:33,602.9999924,529.0000153,59.00000095,56.9999993,103.9999962,1135.999985,CLEAR,0.733333333
11/9/2022 2:37,615.9999847,489.0000153,68.00000191,61.0000014,108.0000019,1290,HI,4.3
11/9/2022 2:41,615.9999847,489.0000153,68.00000191,61.0000014,108.0000019,1290,HI,4.3
11/9/2022 2:42,675.9999847,519.0000153,58.00000191,57.9999983,106.9999981,1273.000031,CLEAR,0.716666667
