timestamp,disch_pres,avg_amps,Intake Temperature(F),Drive Frequency(Hz),Motor Temperature(F),Intake Pressure(psi),Gas Lock,State,Dif
11/9/2020 0:00,78.19999695,3.200000048,7.400000095,0,9.800000191,20.79999924,0,,
11/9/2020 0:01,80.80000305,3.299999952,7.199999809,0,7.599999905,59.20000076,0,HI,6.833333333
11/9/2020 0:02,84.19999695,2.900000095,7.900000095,0,8.300000191,65.90000153,0,HI,1.766666667
11/9/2020 0:03,84.19999695,2.900000095,7.900000095,0,8.300000191,65.90000153,0,HI,2.15
11/9/2020 0:04,84.19999695,2.900000095,7.900000095,0,8.300000191,65.90000153,0,HI,0.716666667
11/9/2020 0:05,80.90000153,2.599999905,7.699999809,0.25999999,8,65.5,0,HI,3.6
11/9/2020 0:06,80.90000153,2.599999905,7.699999809,0.25999999,8,65.5,0,HI,0.716666667
11/9/2020 0:07,80.90000153,2.599999905,7.699999809,0.25999999,8,65.5,0,HI,2.15
11/9/2020 0:08,80.90000153,2.599999905,7.699999809,0.25999999,8,65.5,0,HI,0.716666667
11/9/2020 0:09,80.90000153,2.599999905,7.699999809,0.25999999,8,65.5,0,HI,1.433333333
11/9/2020 0:10,78.09999847,58.79999924,6.5,0.620000005,11.19999981,108.3000031,0,CLEAR,0.766666667
11/9/2020 0:11,70,56.5,6.099999905,0.540000021,10.60000038,106.1999969,0,CLEAR,19.31666667
11/9/2020 0:12,74.69999695,63.40000153,6.199999809,0.639999986,10.80000019,111.1999969,0,CLEAR,20.1
11/9/2020 0:13,75,59.29999924,6,0.550000012,10.5,110.1999969,0,CLEAR,19.36666667
11/9/2020 0:14,65.40000153,53.5,6,0.589999974,10.30000019,131.3000031,0,CLEAR,20.08333333
11/9/2020 0:15,65.40000153,53.5,6,0.589999974,10.30000019,131.3000031,0,CLEAR,9.816666667
11/9/2020 0:16,60.70000076,57.90000153,5.800000191,0.610000014,9.699999809,119.5999985,0,CLEAR,3.1
11/9/2020 0:17,60.70000076,57.90000153,5.800000191,0.610000014,9.699999809,119.5999985,0,CLEAR,0.716666667
11/9/2020 0:18,70.5,60.40000153,6.300000191,0.610000014,11,123.3000031,0,CLEAR,5.733333333
11/9/2020 0:19,70.5,60.40000153,6.300000191,0.610000014,11,123.3000031,0,CLEAR,0.716666667
11/9/2020 0:20,62.90000153,57.09999847,5.5,0.610000014,10.60000038,128.1000061,0,CLEAR,12.2
11/9/2020 0:21,62.90000153,57.09999847,5.5,0.610000014,10.60000038,128.1000061,0,CLEAR,0.716666667
11/9/2020 0:22,60.29999924,52.90000153,5.900000095,0.569999993,10.39999962,113.5999985,0,CLEAR,6.45
11/9/2020 0:23,60.29999924,52.90000153,5.900000095,0.569999993,10.39999962,113.5999985,0,CLEAR,0.733333333
11/9/2020 0:24,61.59999847,48.90000153,6.800000191,0.610000014,10.80000019,129,0,CLEAR,4.3
11/9/2020 0:25,61.59999847,48.90000153,6.800000191,0.610000014,10.80000019,129,0,CLEAR,4.3
11/9/2020 0:26,67.59999847,51.90000153,5.800000191,0.579999983,10.69999981,127.3000031,0,CLEAR,0.716666667
11/9/2020 0:27,67.59999847,51.90000153,5.800000191,0.579999983,10.69999981,127.3000031,0,CLEAR,2.866666667
11/9/2020 0:28,67.09999847,52.59999847,5.900000095,0.629999995,9.600000381,122.0999985,0,CLEAR,7.9
11/9/2020 0:29,67.09999847,52.59999847,5.900000095,0.629999995,9.600000381,122.0999985,0,CLEAR,0.716666667
11/9/2020 0:30,67.09999847,52.59999847,5.900000095,0.629999995,9.600000381,122.0999985,0,CLEAR,3.583333333
11/9/2020 0:31,61.09999847,47.90000153,6,0.639999986,11.60000038,121.0999985,0,CLEAR,12.91666667
11/9/2020 0:32,70.59999847,52.09999847,6.5,0.620000005,11.69999981,120.4000015,0,CLEAR,2.866666667
11/9/2020 0:33,63.5,47.40000153,6.099999905,0.560000002,10.80000019,131.6999969,0,CLEAR,7.883333333
11/9/2020 0:34,60,48,5.699999809,0.560000002,11.39999962,126.4000015,0,CLEAR,12.2
11/9/2020 0:35,63.20000076,49.59999847,6.699999809,0.649999976,10.5,128.3999939,0,CLEAR,2.866666667
11/9/2020 0:36,142.1999969,65.80000305,6.5,0.620000005,10,117,0,CLEAR,5.033333333
11/9/2020 0:37,143.6000061,65.80000305,6.400000095,0.579999983,10.10000038,123.5999985,0,CLEAR,12.18333333
11/9/2020 0:38,151.8999939,64.5,6.199999809,0.579999983,10.69999981,131,0,CLEAR,19.38333333
11/9/2020 0:39,153.5,54.59999847,6.599999905,0.589999974,10,125.9000015,0,CLEAR,20.08333333
11/9/2020 0:40,152.1000061,61.70000076,5.699999809,0.620000005,11.30000019,118,0,CLEAR,2.866666667
11/9/2020 0:41,152.1000061,61.70000076,5.699999809,0.620000005,11.30000019,118,0,CLEAR,0.716666667
11/9/2020 0:42,152.1000061,61.70000076,5.699999809,0.620000005,11.30000019,118,0,CLEAR,2.15
11/9/2020 0:43,152.1000061,61.70000076,5.699999809,0.620000005,11.30000019,118,0,CLEAR,0.716666667
11/9/2020 0:44,166.8999939,57,6.400000095,0.629999995,11,117.9000015,0,CLEAR,13.65
11/9/2020 0:45,143.1000061,58.79999924,6.400000095,0.560000002,11.19999981,129.5,0,CLEAR,20.08333333
11/9/2020 0:46,159.6000061,57.29999924,5.900000095,0.579999983,9.899999619,125.4000015,0,CLEAR,20.08333333
11/9/2020 0:47,159.6000061,57.29999924,5.900000095,0.579999983,9.899999619,125.4000015,0,CLEAR,2.15
11/9/2020 0:48,159.6000061,57.29999924,5.900000095,0.579999983,9.899999619,125.4000015,0,CLEAR,4.3
11/9/2020 0:49,150.8000031,56.09999847,5.800000191,0.569999993,10.10000038,129.6999969,0,CLEAR,13.63333333
11/9/2020 0:50,158.1999969,46.79999924,6,0.540000021,11,131,0,CLEAR,20.08333333
11/9/2020 0:51,160.6999969,49.40000153,5.900000095,0.660000026,10.5,117.1999969,0,CLEAR,12.91666667
11/9/2020 0:52,133.8999939,51.79999924,6.5,0.560000002,11.39999962,121.3000031,0,CLEAR,5.733333333
11/9/2020 0:53,133.8999939,51.79999924,6.5,0.560000002,11.39999962,121.3000031,0,CLEAR,1.433333333
11/9/2020 0:54,150.3999939,45.40000153,5.800000191,0.629999995,11.80000019,122,0,CLEAR,7.183333333
11/9/2020 0:55,67,4,6,0.639999986,11.30000019,123.5,0,HI,12.2
11/9/2020 0:56,61.59999847,3.099999905,6,0.569999993,10.60000038,104.8000031,0,CLEAR,20.08333333
11/9/2020 0:57,72.5,3.700000048,6.199999809,0.569999993,10.30000019,111.8000031,0,CLEAR,20.08333333
11/9/2020 0:58,75.80000305,3.700000048,5.599999905,0.550000012,10.30000019,123.9000015,0,CLEAR,16.5
11/9/2020 0:59,77.90000153,4,5.599999905,0.600000024,11.10000038,106.4000015,0,CLEAR,0.716666667
11/9/2020 1:00,77.90000153,4,5.599999905,0.600000024,11.10000038,106.4000015,0,CLEAR,1.433333333
11/9/2020 1:01,77.90000153,4,5.599999905,0.600000024,11.10000038,106.4000015,0,CLEAR,0.716666667
11/9/2020 1:02,77.90000153,4,5.599999905,0.600000024,11.10000038,106.4000015,0,CLEAR,0.716666667
